img_backbone: 17.16, img_neck: 0.40, pts_voxel_encoder: 13.73, pts_middle_encoder: 6.59, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.37
img_backbone: 17.20, img_neck: 0.32, pts_voxel_encoder: 17.14, pts_middle_encoder: 6.60, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.16, img_neck: 0.34, pts_voxel_encoder: 18.17, pts_middle_encoder: 6.74, pts_backbone: 1.78, pts_neck: 0.34, pts_bbox_head: 12.55
img_backbone: 17.15, img_neck: 0.32, pts_voxel_encoder: 15.32, pts_middle_encoder: 7.15, pts_backbone: 1.75, pts_neck: 0.33, pts_bbox_head: 12.39
img_backbone: 17.25, img_neck: 0.33, pts_voxel_encoder: 19.51, pts_middle_encoder: 8.07, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.49
img_backbone: 17.20, img_neck: 0.34, pts_voxel_encoder: 12.33, pts_middle_encoder: 7.97, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.57
img_backbone: 17.19, img_neck: 0.34, pts_voxel_encoder: 10.00, pts_middle_encoder: 9.22, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.50
img_backbone: 17.24, img_neck: 0.33, pts_voxel_encoder: 9.25, pts_middle_encoder: 9.46, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.49
img_backbone: 17.22, img_neck: 0.33, pts_voxel_encoder: 8.98, pts_middle_encoder: 9.84, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 8.57, pts_middle_encoder: 10.39, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.50
img_backbone: 17.20, img_neck: 0.34, pts_voxel_encoder: 8.43, pts_middle_encoder: 10.99, pts_backbone: 1.79, pts_neck: 0.34, pts_bbox_head: 12.43
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.27, pts_middle_encoder: 11.01, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.39
img_backbone: 17.24, img_neck: 0.33, pts_voxel_encoder: 8.09, pts_middle_encoder: 10.91, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.40
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 7.98, pts_middle_encoder: 11.83, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.41
img_backbone: 17.20, img_neck: 0.34, pts_voxel_encoder: 8.46, pts_middle_encoder: 12.47, pts_backbone: 1.80, pts_neck: 0.34, pts_bbox_head: 12.46
img_backbone: 17.24, img_neck: 0.33, pts_voxel_encoder: 8.05, pts_middle_encoder: 12.32, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.21, img_neck: 0.32, pts_voxel_encoder: 7.84, pts_middle_encoder: 12.81, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.38
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 8.00, pts_middle_encoder: 13.03, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.39
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.92, pts_middle_encoder: 12.57, pts_backbone: 1.79, pts_neck: 0.34, pts_bbox_head: 12.41
img_backbone: 17.22, img_neck: 0.33, pts_voxel_encoder: 7.87, pts_middle_encoder: 12.98, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.49
img_backbone: 17.21, img_neck: 0.32, pts_voxel_encoder: 7.76, pts_middle_encoder: 12.99, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.51
img_backbone: 17.21, img_neck: 0.32, pts_voxel_encoder: 7.84, pts_middle_encoder: 13.31, pts_backbone: 1.78, pts_neck: 0.34, pts_bbox_head: 12.40
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 7.95, pts_middle_encoder: 13.31, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.54
img_backbone: 17.25, img_neck: 0.33, pts_voxel_encoder: 7.73, pts_middle_encoder: 13.07, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.47
img_backbone: 17.22, img_neck: 0.33, pts_voxel_encoder: 8.04, pts_middle_encoder: 12.64, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.50
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 8.17, pts_middle_encoder: 12.49, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.54
img_backbone: 17.26, img_neck: 0.33, pts_voxel_encoder: 8.00, pts_middle_encoder: 12.53, pts_backbone: 1.80, pts_neck: 0.33, pts_bbox_head: 12.52
img_backbone: 17.21, img_neck: 0.34, pts_voxel_encoder: 7.74, pts_middle_encoder: 11.60, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.54
img_backbone: 17.20, img_neck: 0.32, pts_voxel_encoder: 7.74, pts_middle_encoder: 11.67, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.43
img_backbone: 17.25, img_neck: 0.33, pts_voxel_encoder: 7.94, pts_middle_encoder: 11.73, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.46
img_backbone: 17.22, img_neck: 0.33, pts_voxel_encoder: 8.39, pts_middle_encoder: 11.54, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.47
img_backbone: 17.20, img_neck: 0.35, pts_voxel_encoder: 8.08, pts_middle_encoder: 10.82, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.54
